,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,total_time,score
0,10,4,0.4,4,0.8,0.6,1.5,0.4079248905181885,1.0
1,40,4,0.4,4,0.8,0.6,1.5,0.43375611305236816,1.0
2,70,4,0.4,4,0.8,0.6,1.5,0.6615931987762451,0.96
3,100,4,0.4,4,0.8,0.6,1.5,1.3654053211212158,1.0
4,130,4,0.4,4,0.8,0.6,1.5,3.6877963542938232,0.984
5,160,4,0.4,4,0.8,0.6,1.5,4.040605306625366,0.992
6,190,4,0.4,4,0.8,0.6,1.5,5.101988077163696,0.996
7,220,4,0.4,4,0.8,0.6,1.5,0.9820246696472168,0.976
8,250,4,0.4,4,0.8,0.6,1.5,7.599975109100342,1.0
9,280,4,0.4,4,0.8,0.6,1.5,7.697850942611694,1.0
10,310,4,0.4,4,0.8,0.6,1.5,7.242457628250122,1.0
11,340,4,0.4,4,0.8,0.6,1.5,0.37200140953063965,1.0
12,370,4,0.4,4,0.8,0.6,1.5,3.588526725769043,1.0
13,400,4,0.4,4,0.8,0.6,1.5,3.5305395126342773,0.956
14,430,4,0.4,4,0.8,0.6,1.5,1.536444902420044,0.984
15,460,4,0.4,4,0.8,0.6,1.5,0.9752259254455566,1.0
16,490,4,0.4,4,0.8,0.6,1.5,0.9932470321655273,1.0
